epoch,loss,acc,val_loss,val_acc
1,0.7353,0.6638,0.5010,0.7727
2,0.4920,0.7841,0.4828,0.7932
3,0.3613,0.8447,0.6516,0.7624
4,0.3329,0.8682,0.4159,0.8051
5,0.2699,0.8856,0.4769,0.8287
6,0.2616,0.8994,0.4297,0.8161
7,0.2026,0.9195,0.7119,0.7837
8,0.1854,0.9284,0.5586,0.8169
9,0.1676,0.9349,0.4702,0.8232
10,0.1625,0.9382,0.5151,0.8248
11,0.1309,0.9483,0.5145,0.8200
12,0.1169,0.9513,0.5618,0.8193
13,0.1052,0.9580,0.6896,0.8145
14,0.0907,0.9655,1.4543,0.6772
15,0.0994,0.9601,0.7683,0.8011
16,0.0861,0.9712,0.7077,0.8019
17,0.0666,0.9738,0.6721,0.8106
18,0.0607,0.9777,0.7537,0.8169
19,0.0978,0.9720,0.7241,0.8058
20,0.0483,0.9830,0.8080,0.8043
